apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
5室2厅3卫,265平米,高层,整租,南北,30000,"天銮,天河,珠江新城中,距5号线猎德站约587米,临江大道59号之一至59号之七",豪华装修,天銮行宫 现代简欧式轻奢风 超/大主卧书房厨房设计 高层江景
2室1厅1卫,78平米,高层,整租,南北,4000,"富力天朗明居,天河,车陂,距4号线车陂站约504米,东圃中山大道",精装修,车陂 天朗明居 厅直出大阳台 高层精装 安静舒适
2室1厅1卫,86平米,中层,整租,南,4300,"新世界东逸花园,天河,天河公园,东方三路200号",精装修,天河公园 东逸花园精装二房 高瑞大气近 直接拎包入住 安静舒适
2室1厅1卫,83平米,中层,整租,南,3300,"橡树园,天河,沙太南,距3号线支线梅花园站约1072米,天河区沙太南路316号",精装修,橡树园园林式小区电梯房家私电齐电梯房
2室2厅1卫,80平米,高层,整租,东南,3800,"美林湖畔,天河,东圃,距5号线三溪站约680米,中山大道中桃园西路",精装修,近 近公交总站 美林湖畔 高层南向两房 直达珠江新城
3室2厅2卫,111平米,中层,整租,南,4600,"华景新城芳满庭园,天河,华景新城社区,中山大道105号",精装修,华景新城 芳满庭苑 精装舒适3房 高楼层 采光通风好 家私齐全
1室1厅1卫,83平米,高层,整租,南,8200,"领峰,天河,珠江新城中,距APM线妇儿中心站约420米,天河区兴盛路7号",豪华装修,珠江新城 领峰园 豪华一房一厅 正南向 高楼层 视野开阔
1室0厅1卫,30平米,高层,整租,北,2600,"聚侨苑,天河,体育西,距1号线体育西路站约236米,广利路单号49至65号",精装修,体育西 聚侨苑小区 10楼 单间 次放租 2600
2室2厅1卫,76平米,高层,整租,北,3600,"中海康城,天河,东圃,距4号线黄村站约514米,东圃镇广园路和贵宾路交界处",精装修,近4号线黄村地铁站中海康城花园高层干净整洁两房
2室2厅1卫,72平米,高层,整租,东南,4000,"江源半岛花园,天河,车陂,距4号线车陂南站约395米,黄埔大道车陂南路1、3、5、7号",精装修,车陂南 江源半岛 舒适两室一厅 阳台望江 家电齐全
3室2厅2卫,98平米,高层,整租,西北,4500,"天河峰景,天河,沙太南,距6号线天平架站约218米,广州大道北天平架兴华路1号",毛坯,天平架地铁口 天河峰景 精装三房带主套 家私电齐 09年电梯
3室2厅2卫,100平米,高层,整租,南北,3000,"华景新城二期,天河,华景新城社区,华景路粤生街68号至100号",精装修,华景新城二期 实拍实价 三房带主套仅租3000 
1室1厅1卫,47平米,中层,整租,南北,3500,"协和新世界二期,天河,天河北,距3号线华师站约902米,天河区天润路96号",精装修,天河北 协和新世界 精装大一房 家私家电齐全 配套成熟 交通便利
2室2厅1卫,98平米,低层,整租,南,8300,"朱美拉公寓,天河,珠江新城中,距APM线花城大道站约393米,珠江新城冼村路16号",简装修,朱美拉 精装两房 南向安静 全新家具保养新 看房方便
2室2厅1卫,76平米,中层,整租,东南,3800,"东和花苑,天河,员村,距5号线员村站约404米,员村二横路南社大街",精装修,员村旁 东成花苑 温馨两房 安静舒适 住家小区 拎包入住
3室2厅2卫,157平米,中层,整租,南,12500,"隽峰苑,天河,珠江新城中,距5号线猎德站约222米,天河区珠江新城兴盛路10号",豪华装修,隽峰苑 家具齐全+周边配套齐全+有钥匙随时可以看房 整租
1室1厅1卫,54平米,高层,整租,南,2350,"金建苑,天河,燕塘,距3号线支线燕塘站约367米,燕岭路254号",简装修,3号线 10直达广州东站 装修时尚 家电齐全 拎包入住上班族别错过
3室2厅1卫,92平米,高层,整租,南,3500,"橡树园,天河,沙太南,距3号线支线梅花园站约1072米,天河区沙太南路316号",简装修,橡树园 燕塘梅花园站 家电齐全 拎包入住
2室2厅2卫,128平米,中层,整租,南,11000,"凯旋新世界,天河,珠江新城东,距5号线潭村站约753米,珠江新城花城大道与海风路交界处",豪华装修,凯旋新 急租 欧式大两房 户型方正 望珠江公园
3室2厅2卫,157平米,高层,整租,南,15000,"富力公园28,天河,珠江新城东,距5号线潭村站约673米,珠江新城马场路28号",简装修,急租 方便看房 富力公园 高层南向可做会所用途
5室2厅2卫,190平米,高层,整租,南北,10000,"汇景新城棕榈园,天河,汇景新城社区,广园东路与五山路交界处",豪华装修,环境优美
2室1厅1卫,74平米,高层,整租,南,7800,"中海花城湾,天河,珠江新城中,距5号线猎德站约160米,珠江新城花城大道86号",简装修,猎德 中海花城湾 天汇旁 精美两房 美的享受 期待您的品鉴
1室1厅1卫,58平米,中层,整租,南,3200,"枫丹雅筑,天河,天河北,距3号线岗顶站约673米,龙口西路209号",精装修,天河北枫丹雅筑 精装大1房 家私电齐全 近地铁 随时入住 急租
3室2厅2卫,112平米,高层,整租,南,7800,"珠江太阳城广场,天河,珠江新城东,距5号线潭村站约823米,平川路611至613号",精装修,珠江新城 精致3房 全新家私电器
3室2厅2卫,171平米,高层,整租,东,16000,"凯旋新世界,天河,珠江新城东,距5号线潭村站约753米,珠江新城花城大道与海风路交界处",简装修,凯旋新 枫丹丽舍 望珠江公园 景观好 少有户型 整租
3室2厅1卫,103平米,中层,整租,南,6400,"保利中宇广场,天河,天河北,距3号线华师站约414米,天河北路626至628号",简装修,华师地铁口 保利中宇 大三房带阳台 小区管理 拎包入住
4室2厅3卫,280平米,中层,整租,南,25000,"侨鑫汇悦台,天河,珠江新城东,距5号线潭村站约525米,马场路与临江大道交界处",豪华装修,亚洲热搜 一线望江豪宅 精美家具 诚心出租，欢迎看房
3室2厅1卫,99平米,低层,整租,南北,4000,"兰亭盛荟,天河,东圃,距5号线东圃站约727米,黄埔大道桃园西路明镜路（东圃地铁站B出口东行100米",豪华装修,兰亭盛荟 精装三房 家私电器全齐 看房可约 地铁公交方便
3室2厅2卫,123平米,高层,整租,南北,6500,"伊顿18,天河,龙口西,距3号线岗顶站约492米,龙口西路196号",豪华装修,天河北 伊顿18 精装三房 家电齐全 厅出阳台 岗顶站
2室1厅1卫,89平米,低层,整租,南,3800,"翠湖山庄,天河,员村,黄埔大道萝斗岗1号",精装修,翠湖山庄 精装二房 厅出阳台 配套齐全 拎包入住 急租 3800
1室0厅1卫,39平米,中层,整租,北,4800,"天文苑,天河,体育西,距APM线体育中心南站约378米,体育西路105号",简装修,天文苑，品质小区，家电齐全，维多利广场，期待来电！
2室1厅1卫,72平米,中层,整租,暂无,3000,"城市假日园,天河,东圃,距4号线车陂站约868米,中山大道旭景西路",简装修,城市假日园 精装两房 户型方正 产权清晰 南向望花园
1室1厅1卫,50平米,低层,整租,南,5000,"力达广场,天河,天河北,距6号线燕塘站约191米,粤垦路（3、6号地铁线交汇处燕塘站附近）",简装修,地铁超市商场国际， 生活的天堂
