apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
3室2厅2卫,96平米,中层,整租,南,4500,"保利紫薇花园,白云,机场路,汇侨新城西汇侨中路",精装修,保利紫薇花园 三房两厅 家私家电齐全 看房方便
2室2厅1卫,80平米,低层,整租,东北,3000,"金名都,白云,金沙洲北,金沙洲里广路6-8号",毛坯,金沙洲 金名都精装两房 全新未住 南北对流 拎包入住
3室2厅2卫,112平米,高层,整租,西,5000,"白云尚城,白云,江夏,距2号线江夏站约211米,黄石北路137至157号",毛坯,江夏口 白云尚城 豪华温馨三房 南向望花园 拎包入住
3室2厅2卫,186平米,中层,整租,南,7450,"恒大绿洲,白云,金沙洲南,距6号线沙贝站约642米,广州市白云区彩滨南路与藤业一路交界处",豪华装修,恒大绿洲全新豪华欧式大3房 家私家电全齐 环境优美 近地铁
6室3厅5卫,298平米,高层,整租,东,35000,"金湖花园,白云,同和,白云区沙太北路938号",豪华装修,金湖花园，豪华装修联排别墅 ，环境舒适，样板房出租
4室2厅2卫,268平米,高层,整租,南,8500,"恒大绿洲,白云,金沙洲南,距6号线沙贝站约642米,广州市白云区彩滨南路与藤业一路交界处",豪华装修,金沙洲 恒大绿洲 高层望江 豪华4房 拎包入住 随时看房
2室1厅1卫,78平米,中层,整租,南,3500,"白云高尔夫花园,白云,黄石,距2号线萧岗站约1162米,黄石东路118号",精装修,白云区高尔夫花园 电梯精装修 格局好采光好 实用2房
1室1厅1卫,45平米,中层,整租,南,1800,"新兴白云花园,白云,黄边,距2号线黄边站约821米,白云大道北西侧解放庄北街路口",精装修,新兴白云花园 房源1房 家私家电齐全 拎包入住
4室2厅1卫,107平米,低层,整租,东南,4300,"岭南新世界,白云,嘉禾望岗,距2号线嘉禾望岗站约798米,白云区白云大道北1689号",精装修,岭南新世界 交通便利 新靓四房 环境舒适 实景拍摄 拎包入住
3室2厅2卫,125平米,高层,整租,南,5800,"南湖半岛花园,白云,南湖,同和路998号",精装修,南湖半岛花园 拎包入住 3房 东南向 环境好 给你一个温暖的家
2室2厅1卫,70平米,低层,整租,东北,2800,"云东小区,白云,同和,距3号线支线同和站约177米,广州大道北云新街",中装修,同和地铁云东小区精装两房 房子实地不错 采光好 随时看房
2室2厅1卫,74平米,中层,整租,南,3800,"岭南新世界,白云,嘉禾望岗,距2号线嘉禾望岗站约798米,白云区白云大道北1689号",精装修,岭南新世界映悦园 精装 南向2房 随时可看
2室2厅1卫,72平米,低层,整租,南,3700,"金碧雅苑,白云,黄边,距2号线黄边站约541米,华南北路（永泰收费站北行约300米永泰路口处)",精装修,双口 金碧雅苑 精装两房 方便看房
2室2厅1卫,84平米,高层,整租,南,3000,"黄石花园,白云,黄石,黄石东路87号至97号",中装修,黄石花园 电梯中高层 户型方正 带主套看房方便
1室1厅1卫,45平米,中层,整租,南,3800,"方圆白云时光,白云,新市,机场路白云区法院旁",精装修,方圆大学时光 交通生活便利 房子刚刚搞好卫生 入住
2室2厅1卫,76平米,低层,整租,东北,3500,"云裳丽影,白云,同和,距3号线支线同和站约493米,广州大道北富和路2号至58号",豪华装修,同和 云裳丽影 温馨两房 急租 正规家具家电齐全住宅
3室1厅2卫,103平米,高层,整租,北,6000,"方圆白云时光,白云,新市,机场路白云区法院旁",精装修,大学时光三房一厅，家电齐全，随时入住，电梯楼地
1室1厅1卫,45平米,中层,整租,南,2200,"京溪农村信用社小区,白云,京溪,距3号线支线京溪南方医院站约575米,广州市白云区京溪路云景花园站旁",简装修,3号线 世联红璞 品牌 带独立大阳台 拎包入住 近地铁口免中介
2室2厅1卫,77平米,高层,整租,东北,2700,"时代糖果,白云,金沙洲北,金沙洲里横路",精装修,时代糖果 精装两房单位 家私齐全 看房方便 看好随时入住的
2室1厅1卫,80平米,低层,整租,南,3500,"怡新花园,白云,梅花园,距3号线支线梅花园站约207米,广州大道北梅花园路",简装修,怡新花园精致两房 不错的哦 小区大花园 拎包入住随时看房
3室2厅2卫,123平米,中层,整租,东南,4800,"中海金沙湾,白云,金沙洲南,距6号线沙贝站约1067米,金沙洲建设大道1号",豪华装修,中海金沙湾 豪华装修 温馨大三房 家私全齐
3室2厅2卫,128平米,高层,整租,东南,5600,"佳兆业天御,白云,广州大道北,距3号线支线梅花园站约839米,沙太南路20号（恒大御府旁）",精装修,梅花园佳兆业天御豪华全新装修全新家私交通便利近口
