apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
3室2厅1卫,89平米,低层,整租,东南,1600,"从化雅居乐滨江花园,从化,街口中心区,江埔街红荔新村红荔西街",中装修,雅居乐滨江花园，吉屋出租
3室2厅2卫,98平米,中层,整租,南,2000,"珠光流溪御景,从化,太平,从化神岗文峰塔公园内流溪河畔",精装修,流溪御景 精装三房 租2000一月拎包入住
5室2厅3卫,142平米,高层,整租,北,3500,"从化雅居乐滨江花园,从化,街口中心区,江埔街红荔新村红荔西街",豪华装修,从化雅居乐滨江花园，5房，家私电器全齐，拎包即住
3室2厅2卫,98平米,中层,整租,东南,4000,"从化雅居乐滨江花园,从化,街口中心区,江埔街红荔新村红荔西街",精装修,从化雅居乐滨江花园房子和车位一起租，3房，租4000一个月
3室2厅1卫,125平米,中层,整租,东南,1000,"商贸城南区,从化,街口中心区,环市东路江浦街",精装修,百闻不如一见 商贸城南区东南 献给懂得享受得你...
2室1厅1卫,80平米,中层,整租,南,1100,"怡富绿色家园,从化,街口中心区,城内路148号",豪华装修,怡富绿色家园 家私家电齐 干净舒适漂亮 屋子通风采光好..
3室2厅1卫,89平米,低层,整租,南,1800,"人盛假日花园,从化,街口中心区,街口街河滨北路222号",中装修,人盛花园 89方租1800元
3室2厅2卫,142平米,中层,整租,东,3000,"星河绿洲,从化,街口中心区,河东北路105号",精装修,从化星河绿洲，大户型，3房，家私电器全齐，拎包即住
2室1厅1卫,80平米,中层,整租,南北,1300,"金裕街小区,从化,街口中心区,河滨北路金裕街",精装修,金裕街 正规设施完善 机会难得尽快来看....
3室2厅2卫,120平米,中层,整租,南,2300,"莱茵水岸,从化,街口中心区,从城大道33号",精装修,莱茵水岸 精装修 拎包入住 地铁口汽车站
3室2厅2卫,160平米,低层,整租,南,1380,"方圆明月山溪,从化,温泉,从化市温泉镇内",简装修,方圆明月山溪 吉屋出租 可配家电
3室2厅1卫,100平米,中层,整租,南,2200,"逸泉山庄,从化,街口中心区,街口镇神岗流溪河畔",简装修,逸泉山庄 家私家电齐全 放租2200 拎包入住 格局采光好
2室2厅1卫,60平米,中层,整租,南,2000,"乔安楼,从化,街口中心区,街口建设路222号",精装修,乔安楼 精装两房 温馨舒适安静 大方的体生活便利 拎包入住
