apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
1室1厅1卫,52平米,高层,整租,南,4800,"珠江新岸公寓,海珠,滨江东,距APM线广州塔站约975米,滨江东路玉涵路28号",精装修,珠江新岸 南向 52方单边一房一厅 无遮挡景观 拎包入住
3室2厅1卫,97平米,中层,整租,南,5380,"中顺领御公馆,海珠,工业大道北,距2号线东晓南站约1199米,工业大道南永翠路2-14号",豪华装修,中顺领域公馆 租豪华电梯三房 温馨舒适通风 采光好 双阳台
1室1厅1卫,45平米,中层,整租,东南,2100,"新港西远洋宿舍,海珠,新港西,距8号线晓港站约560米,新港西路35号",精装修,新港西远洋小区正规一房一厅出租，精装修。家电齐全
2室2厅1卫,78平米,高层,整租,南,3500,"广发新村,海珠,赤岗,距8号线赤岗站约472米,新港中路489号",精装修,赤岗地铁 精装南向大两房 初次放租 拎包入住 手快有
1室1厅1卫,75平米,中层,整租,北,6000,"保利世贸公寓,海珠,琶洲,距8号线琶洲站约219米,海珠区新港东路1000号",豪华装修,好的房子不是用来欣赏的 是用来享受的！！！
2室2厅1卫,65平米,中层,整租,南,3600,"动感华庭,海珠,江燕路,距2号线江泰路站约568米,江燕路燕子岗",精装修,江燕路 动感华庭 电梯中层 精装修两 采光好只租3600/月
1室1厅1卫,50平米,中层,整租,南北,2600,"江南西小区,海珠,江南西,距2号线江南西站约202米,江南西路",精装修,江南西小区，50平，拎包入住，省钱又省心
2室2厅2卫,69平米,中层,整租,南北,3000,"赤岗苑,海珠,赤岗,距8号线赤岗站约974米,赤岗碧映路靖晖街1-6、8-9号",精装修,赤岗苑 精装两房 家私齐全 拎包入住 看房方便
3室2厅2卫,121平米,高层,整租,南,6600,"光大花园,海珠,工业大道北,距广佛线沙园站约510米,工业大道北榕景路122号",精装修,光大花园榕上居 采光好 环境好 住着舒服
1室1厅1卫,48平米,高层,整租,东南,5800,"万科派,海珠,江燕路,距2号线江泰路站约53米,江泰路站C出口上盖江南大道与江燕路交汇处（燕汇广场正",精装修,江泰 万科派 一房一厅 可可自住 近
3室2厅1卫,139平米,中层,整租,南北,10000,"中海锦苑,海珠,滨江东,距APM线广州塔站约1037米,海珠区滨江东路957号",豪华装修,中海锦苑 好房 家具家电齐全3房 劲爆你的眼球
3室1厅2卫,108平米,低层,整租,南,8500,"滨江1933,海珠,滨江西,距2号线海珠广场站约688米,滨江西路200号",简装修,1933望江住宅一线江景
