apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
3室2厅1卫,94平米,高层,整租,南,3000,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,合和新城 全新三房 出租 拎包入住
1室1厅1卫,52平米,高层,整租,南,2500,"雅居乐汇通国际(商用),花都,建设北,平步大道西汇通广场",豪华装修,汇通 全新豪华装修 家私电齐全 即可拎包入住
1室1厅1卫,40平米,中层,整租,南,1200,"学府花园,花都,新区,平步大道中学府路2号",精装修,花园，40方电梯单间，小区管理，
1室1厅1卫,58平米,中层,整租,北,2300,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,温馨一室一厅 家私家电齐全
1室1厅1卫,55平米,中层,整租,东南,1900,"京仕商业广场,花都,旧区,距9号线清埗约826米,新华镇迎宾大道179号",简装修,京仕广场 精装一房 机组车线 配套成熟 欢迎拎包入住
1室1厅1卫,35平米,高层,整租,南北,850,"金联小区,花都,旧区,距9号线花果山公园约718米,天贵路与商业大道交汇处",简装修,小区一房一厅 家电齐全 拎包入住 邻近地铁
3室2厅1卫,110平米,中层,整租,南,3000,"云峰花园,花都,镜湖大道,距9号线清埗约457米,镜湖大道2号",精装修,什么样的房子讨人喜欢，回答肯定是清爽的.一眼望去干干净净舒服
1室1厅1卫,54平米,低层,整租,北,1800,"星港国际(商用),花都,旧区,距9号线莲塘约71米,新华迎宾大道东侧（广大附中斜对面）",精装修,碧桂园.星港国际，莲塘地铁口，花都湖湿地公园，广大
4室2厅2卫,153平米,低层,整租,南,3300,"中房观湖国际,花都,新区,滨湖路12号",简装修,中房观湖国际 4房2厅 带主套 仅需3300元/悦 全屋家私
2室2厅1卫,108平米,中层,整租,南,2000,"美林湖国际社区,花都,美林湖,山前大道168号",简装修,美林湖 温馨舒适装修 安静望花园 家私家电齐全
2室2厅1卫,80平米,高层,整租,南,800,"美林湖国际社区,花都,美林湖,山前大道168号",简装修,美林湖 两房格局方正 通风采光好 安静望花园
2室2厅1卫,84平米,中层,整租,南,2500,"云珠花园,花都,新区,距9号线马鞍山公园约847米,龙珠路35号",精装修,云珠花园 温馨2房 机场沿线 大润发商圈 近口 生活便利
3室2厅1卫,116平米,高层,整租,南,1800,"文苑小区,花都,新区,新华镇建设北路",精装修,文苑小区 精装3房 近邝维煜 周边生活便利 家私电齐全
3室2厅1卫,98平米,高层,整租,北,2700,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,合和新城旁百合机场沿线，美食街楼上，交通便利，随时看
1室1厅1卫,48平米,高层,整租,南,1900,"云峰花园,花都,镜湖大道,距9号线清埗约457米,镜湖大道2号",精装修,云峰，机场沿线，购物方便，交通便利，全新配套，
3室2厅2卫,118平米,高层,整租,南北,2400,"凤凰御景花园,花都,新区,花都区凤凰北路34号",精装修,俊怡御景花园 3房2300
3室2厅2卫,121平米,低层,整租,南,3000,"俊怡御景花园,花都,建设北,三东大道西建设北路西侧",精装修,俊怡御景花园，朝南3房2卫 家电全齐 温馨舒适，保养新净
1室1厅1卫,40平米,中层,整租,南北,1600,"勤天SOLO上作,花都,镜湖大道,距9号线清埗约580米,花都区镜湖迎宾大道",简装修,安合勤天 地铁口物业 空港快线 一房一厅 家具齐全
2室2厅1卫,85平米,中层,整租,南,2800,"雅居乐雍逸豪廷,花都,新区,距9号线花都广场约719米,花都区凤凰北路32-33号",精装修,雅居乐一期 大润发旁 两房出租 附近配套齐全交通方便
3室2厅2卫,124平米,中层,整租,南,2800,"骏威广场,花都,旧区,距9号线花果山公园约618米,公益大道1号",精装修,骏威广场 雅苑 电梯大三房 家电齐全
2室2厅1卫,90平米,低层,整租,南北,1500,"美力锦颐雅居,花都,建设北,新华街三东大道45号",精装修,美力锦颐雅居 建设北路和三东大道交界处，政府旁，2室2厅1卫
1室1厅1卫,55平米,中层,整租,南,1680,"凯旋国际公寓,花都,新区,距9号线马鞍山公园约869米,花都区三东大道南侧、百寿路西侧、梅花路北侧",豪华装修,凯旋国际，朋友的房子放租，口单身，拎包即住
3室2厅2卫,118平米,中层,整租,北,2500,"俊怡御景花园,花都,建设北,三东大道西建设北路西侧",精装修,御景花园价格便宜环境优美
3室2厅2卫,117平米,中层,整租,南,2200,"狮城国际,花都,狮岭,花都区狮岭镇雄师大道中",精装修,真狮城国际 3房2卫出租 家私家电齐全 拎包入住
3室2厅2卫,119平米,中层,整租,东南,2500,"祈福辉煌台,花都,铁路西,云山大道农新路1号",精装修,祈福辉煌台 广州北站 高速出口旁 三房两卫家电齐全
1室1厅1卫,50平米,中层,整租,西,2000,"京仕商业广场,花都,旧区,距9号线清埗约826米,新华镇迎宾大道179号",简装修,京仕广场地铁口物业 机场快线 家私家电齐全 拎包入住
1室2厅1卫,48平米,高层,整租,西,2500,"云峰花园,花都,镜湖大道,距9号线清埗约457米,镜湖大道2号",精装修,机组车上下点 云峰 复式楼出租 家电齐全 出行方便 仅一套
2室2厅1卫,60平米,高层,整租,南,2500,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,合和新城 小两房 精装修 拎包入住
3室2厅2卫,99平米,中层,整租,南,2300,"豪利花园,花都,镜湖大道,镜湖大道18号",精装修,豪利花园三房两厅两卫，随时可以看房，，交通便利，
1室1厅1卫,48平米,高层,整租,北,2000,"京仕商业广场,花都,旧区,距9号线清埗约826米,新华镇迎宾大道179号",精装修,京仕广场，温馨单间，独立阳台，厨房，随时看房，机场沿线，
1室1厅1卫,48平米,中层,整租,北,2200,"京仕商业广场,花都,旧区,距9号线清埗约826米,新华镇迎宾大道179号",精装修,京仕广场，独立厨房阳台，机场快线，楼下美食街，交通便利
3室2厅2卫,135平米,中层,整租,南,3000,"骏威广场,花都,旧区,距9号线花果山公园约618米,公益大道1号",精装修,花都五小 精装实用大三房 家私家电齐全  看房方便
3室2厅2卫,98平米,高层,整租,南,3000,"美林轩逸时光,花都,镜湖大道,镜湖大道16号",精装修,空港经济区 美林轩逸时光 三房两卫 南向看花园 家电齐全
3室2厅2卫,93平米,高层,整租,北,3000,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,清布 清塘双地铁口 合和新城 精装三房 带主套 家电齐全 家住风格
2室2厅1卫,58平米,中层,整租,北,2300,"合和新城,花都,镜湖大道,距9号线清埗约859米,迎宾大道3号（近万和北路）",精装修,合和新城，欧式配套两房，机场沿线，房子干净整洁，可拎包入住
4室3厅3卫,245平米,高层,整租,西北,4000,"花都区金碧御水山庄772(花都/山前大道),广州市花都区狮岭镇",精装修,花都区金碧御水山庄7724室3厅3卫
1室1厅1卫,100平米,低层,整租,南,1500,"天湖峰境,花都,花东,广州花都",简单装修,天湖峰境2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,580,"友田碧云轩,花都,狮岭,广州花都",简单装修,友田碧云轩1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,600,"鼎信四季花园,花都,建设北,广州花都",简单装修,鼎信四季花园1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1250,"祈福辉煌台南岸,花都,铁路西,广州花都",简单装修,祈福辉煌台南岸3室2厅1卫
2室1厅1卫,82平米,中层,整租,南,1450,"实用两房——新花苑小区(花都/旧区),秀全大道新花街2号",中等装修,花都旧区实用两房——新花苑小 82平米2室1厅1卫
1室0厅1卫,60平米,高层,整租,南,2700,"星港国际(商用),花都,旧区,距9号线莲塘约71米,新华迎宾大道东侧(广大*斜*)",精装修,星港国际(商用) 整租 1室0厅1卫 60平米(个人)
1室1厅1卫,46平米,中层,整租,东南,1500,"花都万达旅游城(花都/新区),凤凰北路万达旅游城*",精装修,花都新区花都万达旅游城 46平米1室1厅1卫
2室1厅1卫,70平米,低层,整租,南,3300,"宝华路21号,花都,旧区,距1号线长寿路站约487米,宝华路21号",简单装修,宝华路21号2室1厅1卫
1室1厅1卫,80平米,低层,整租,南北,500,"花都雅居乐花园,花都,新区,新华镇凤凰北路33号",精装修, 整租 1室1厅1卫 80平米(个人)
3室2厅1卫,96平米,高层,整租,南,2400,"城央御景,花都,新区,距9号线广州北站约1087米,新华街新街大道72号",精装修,花都新区城央御景 96平米3室2厅1卫
3室2厅2卫,102平米,高层,整租,东南,2800,"祈福万景峰,花都,铁路西,距9号线广州北站约1046米,花都区新华镇新街大道中",豪华装修,祈福万景峰3房2厅带齐拎包入住
3室2厅2卫,128平米,高层,整租,南,3000,"钻石豪庭,花都,新区,距9号线花都广场约595米,新华镇紫薇路88号",精装修,新区繁华地段 钻石豪庭 精装修 拎包即住 骏壹万邦盘 地铁口物业
3室2厅2卫,114平米,高层,整租,南,3000,"时代美居,花都,新区,距9号线花果山公园约621米,新华镇宝华路30号",精装修,时代美居精装三房拎包入住
3室2厅2卫,120平米,高层,整租,南,4500,"锦尚蓬莱苑,花都,新区,距9号线莲塘约950米,花都区新华镇商业大道以北凤凰北路东侧",简装修,锦尚蓬莱 精装3房 带主套 业主出租 图片
4室2厅2卫,156平米,低层,整租,南,4200,"御华园,花都,狮岭,花都区狮岭镇狮岭大道东1号",精装修,花都狮岭御华园 156平米4室2厅2卫
1室0厅1卫,46平米,中层,整租,东南,1500,"保利高尔夫郡,花都,铁路西,距9号线飞鹅岭约325米,风神大道新体育馆旁",精装修,保利高尔夫郡一房出租只要1500元 家电齐全拎包入住 地铁口
3室2厅1卫,105平米,高层,整租,南,1700,"银菊花小区,花都,新区,距9号线花都广场约712米,公益路18号",简装修,银菊花三房出租，格局方正实用高，小区管理，光线通风好
3室2厅1卫,88平米,中层,整租,南北,2000,"保利城,花都,铁路西,距9号线飞鹅岭约883米,风神大道与花港大道交汇处",精装修,保利城花园 经典小三房 家电齐全，拎包入住只要租2000元
