apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
4室2厅2卫,123平米,中层,整租,南,4300,"万科东荟城,黄埔,开创大道,距6号线香雪站约1177米,科学城开泰大道与荔红二路交界处",精装修,万科东荟城 南向精装4房 地铁6号线香雪站 拎包入住
1室0厅1卫,32平米,中层,整租,南,1100,"萝岗敏捷广场(商用),黄埔,萝岗,水西路（盈翠公园斜对面）",精装修,业主急租 萝岗敏捷广场 温馨一房1100元 价格优惠 近地铁
4室1厅3卫,182平米,低层,整租,南,6500,"雅居乐富春山居,黄埔,开创大道,距6号线黄陂站约371米,广汕路与大观路交界处",精装修,雅居乐富春山居 精装4房 家私齐全 拎包入住 地铁黄陂站
2室2厅1卫,80平米,中层,整租,南,3100,"文冲回迁房,黄埔,文冲,距5号线文冲站约573米,黄埔区文冲路",精装修,5号线文冲站 瑞东花园 漂亮两房 居家好地方 拎包入住
2室1厅1卫,80平米,低层,整租,南,3000,"大田花园,黄埔,丰乐路,距5号线大沙东站约127米,镇东路50号",精装修,黄埔区 大沙东地铁口 电梯 2房2厅 精美装修 生活便利 拎包入住
4室2厅2卫,82平米,中层,整租,南,2800,"锐丰中心,黄埔,萝岗,距6号线香雪站约220米,开创大道与荔红二路交界（香雪牌坊旁边）",精装修,急租 锐丰中心复式2房 租办。公 免租期半个月 交通方便 随时看房
2室1厅1卫,64平米,高层,整租,南,2600,"丰逸尚居,黄埔,文冲,距13号线双岗站约249米,黄埔区广新路686号",精装修,丰逸尚居 全新两房 电梯 干净整洁 拎包入住 看房有
1室1厅1卫,38平米,中层,整租,南,2200,"文冲安置房小区,黄埔,文冲,距5号线文冲站约573米,黄埔区文冲路",精装修,黄埔区 安置房 大单间 精美装修 配套齐全 生活便利 拎包入住
3室2厅1卫,117平米,低层,整租,南,3000,"黄埔新福港鼎峰,黄埔,萝岗,距6号线萝岗站约575米,萝岗香雪大道萝岗区府东侧",精装修,急租新福港鼎峰3房 家私电器齐全 拎包入住 免租期半个月
2室1厅1卫,62平米,低层,整租,南,2300,"石化大院,黄埔,文冲,距5号线文冲站约148米,文冲石化路166号",精装修,石化大院 精装2房 拎包入住 随时看房
2室1厅1卫,58平米,中层,整租,南,2500,"锐丰中心,黄埔,萝岗,距6号线香雪站约220米,开创大道与荔红二路交界（香雪牌坊旁边）",简装修,急租 锐丰中心楼下香雪站 家私电器齐全 拎包入住 免租期半个月
2室2厅1卫,51平米,低层,整租,南北,2100,"萝岗敏捷广场(商用),黄埔,萝岗,水西路（盈翠公园斜对面）",精装修,萝岗敏捷广场 香雪地铁站 2100元 免租15天
4室2厅2卫,125平米,中层,整租,南北,4500,"保利香雪山,黄埔,萝岗,距6号线萝岗站约745米,科学城水西环路",精装修,保利香雪山 4500元 4室2厅2卫 精装修，干净整洁，随时
5室2厅3卫,175平米,中层,整租,南,13888,"万科城,黄埔,萝岗,距6号线金峰站约188米,开创大道3326号",豪华装修,萝岗万科城豪华别墅 家私齐全 看房方便 业主诚心出租
1室1厅1卫,68平米,高层,整租,南,3600,"雅居乐富春山居,黄埔,开创大道,距6号线黄陂站约371米,广汕路与大观路交界处",豪华装修,雅居乐富春山居 豪装家私电器全 专属
2室2厅1卫,77平米,高层,整租,南,3100,"锦林山庄,黄埔,萝岗,距6号线暹岗站约675米,萝岗开发区科学城开创大道",简装修,锦林山庄两房出租环境优美依山旁湖安静不吵
1室1厅1卫,38平米,高层,整租,东南,2000,"文冲安置房小区,黄埔,文冲,距5号线文冲站约573米,黄埔区文冲路",精装修,文冲 安置房 精装配齐大单间 旁地铁上 环境优美拎包入住 免管理
3室2厅2卫,100平米,中层,整租,南,4500,"保利学府里,黄埔,大沙地,距5号线大沙地站约575米,蟹山路48号",精装修,保利里里 品质小区 大沙地出口 南向三房 5号线
3室2厅1卫,120平米,高层,整租,南,3700,"金碧世纪花园,黄埔,大沙地,中山大道东81号",精装修,莲溪 金碧世纪花园 精装三房 高层南向望花园 环境优美
3室1厅1卫,92平米,中层,整租,南,3800,"万科城,黄埔,萝岗,距6号线金峰站约188米,开创大道3326号",豪华装修,萝岗开创大道旁　万科城　92平3房　家私全齐3800
2室2厅1卫,54平米,低层,整租,西南,2600,"锐丰中心,黄埔,萝岗,距6号线香雪站约220米,开创大道与荔红二路交界（香雪牌坊旁边）",精装修,萝岗锐丰中心 精装复式两房拎包入住地铁口就在楼下 免租半个月
1室1厅1卫,63平米,中层,整租,东南,2000,"中海誉城,黄埔,开创大道,科学城东部开创大道与开源大道交接处",简装修,黄埔萝岗 中海誉城 一房一厅 看房方便 拎包入住 月租2000可配齐
1室1厅1卫,56平米,中层,整租,东南,1200,"萝岗敏捷广场(商用),黄埔,萝岗,水西路（盈翠公园斜对面）",精装修,萝岗敏捷广场 复式精美1房 价格1200元 拎包入住
5室2厅3卫,178平米,中层,整租,南,5500,"保利香雪山,黄埔,萝岗,距6号线萝岗站约745米,科学城水西环路",精装修,保利香雪山 南向精装5房 6号线萝岗站 拎包入住
2室2厅1卫,80平米,中层,整租,暂无,3200,"文冲安置房小区,黄埔,文冲,距5号线文冲站约573米,黄埔区文冲路",精装修,文冲安置房 温馨两房 家私电齐 通风采光好 免管理费
2室2厅1卫,78平米,中层,整租,南,2800,"文冲安置房小区,黄埔,文冲,距5号线文冲站约573米,黄埔区文冲路",精装修,黄埔文冲安置房三期精装2房 免物业费 紧近5号线地站 看房方便
2室1厅1卫,56平米,中层,整租,南,2500,"锐丰中心,黄埔,萝岗,距6号线香雪站约220米,开创大道与荔红二路交界（香雪牌坊旁边）",精装修,萝岗 锐丰中心 豪华复式两房 近地铁6号线 业主急租 2500元
2室2厅1卫,72平米,高层,整租,南北,2900,"金碧世纪花园,黄埔,大沙地,中山大道东81号",精装修,金碧世纪花园 2房格局方正源 低于市场价400元 拎包即住
