apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
1室0厅1卫,20平米,高层,整租,南北,1500,"隆城小区,荔湾,陈家祠,荔湾区中山八路",暂无资料,隆城小区大单间，租金实惠，随约随看
1室1厅1卫,49平米,中层,整租,南北,600,"泰安楼,荔湾,中山八,距1号线陈家祠站约810米,西华路141号",简单装修,泰安楼拎包入住正规小区有家电家具
4室1厅1卫,106平米,中层,整租,东南,4800,"西场地铁口(荔湾/东风西),广雅*旁",精装修,西场地铁口 整租 4室1厅1卫 106平米(个人)
1室1厅1卫,46平米,低层,整租,南北,500,"丽新怡苑,荔湾,黄岐,南海区黄岐北村大道",简单装修,丽新怡苑单间带厨卫家电齐全
1室1厅1卫,100平米,低层,整租,南,1050,"省妇幼保健院小区,荔湾,环市西,距2号线广州火车站约885米,广州荔湾",简单装修,省妇幼保健院小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1600,"雅居蓝湾,荔湾,盐步,广州荔湾",简单装修,雅居蓝湾1室1厅1卫
1室1厅1卫,54平米,中层,整租,南北,700,"中南海晖园,荔湾,黄岐,广佛路31号",简单装修,中南海晖园一室一厅带家电家具可月付整租
1室1厅1卫,46平米,中层,整租,南北,600,"丽新怡苑,荔湾,黄岐,南海区黄岐北村大道",简单装修,丽新怡苑主卧朝东北精装修
1室1厅1卫,100平米,低层,整租,南,1500,"机务段,荔湾,环市西,广州荔湾",简单装修,机务段1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,640,"富力君湖华庭,荔湾,流花,距5号线西村站约1048米,广州荔湾",简单装修,富力君湖华庭1室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1050,"窖口大街小区,荔湾,窖口,距5号线滘口站约648米,广州荔湾",简单装修,窖口大街小区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1150,"荔湖明苑亲晴天,荔湾,中山八,距5号线中山八站约565米,广州荔湾",简单装修,荔湖明苑亲晴天2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,690,"龙津东路小区,荔湾,陈家祠,距1号线陈家祠站约582米,广州荔湾",简单装修,龙津东路小区1室1厅1卫
3室2厅2卫,99平米,高层,整租,南,4800,"保利曼城(荔湾/芳村),荔湾鹤洞路以南(广钢工人体育馆旁)",精装修,荔湾芳村保利曼城 98.7平米3室2厅2卫拎包入住
1室1厅1卫,100平米,低层,整租,南,1100,"平东小区,荔湾,坑口,距广佛线鹤洞站约135米,广州荔湾",简单装修,平东小区2室1厅1卫
3室2厅1卫,79平米,高层,整租,东,3000,"广雅居,荔湾,西村,距5号线西村站约263米,西湾东路14号",精装修,广雅居 整租 3室2厅1卫 79平米(个人)
2室2厅1卫,85平米,中层,整租,东南,1000,"荔湾菊树地鐵站徬广钢新城(荔湾/广钢新城),	广州市荔湾区增南路菊树街38号",简装修,荔湾菊树地鐵站徬广钢新城2室2厅1卫
