apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
3室1厅1卫,90平米,低层,整租,南,2000,"奥园海景城,南沙,金洲,距4号线金洲站约827米,进港大道22号",简装修,海景城精装三房 边 家私齐全 拎包入住
3室2厅1卫,112平米,高层,整租,南,2600,"南沙滨海珺城,南沙,明珠湾,距4号线飞沙角站约927米,环市大道西与广隆路交界处",精装修,滨海珺城大三房南向，家私家电全齐，近飞沙角站，租2400
3室2厅1卫,96平米,低层,整租,南北,2200,"南沙碧桂园豪庭,南沙,金洲,距4号线金洲站约825米,南沙经济开发区",精装修,碧桂园豪庭 小区管理严格 住的放心 来电看房
2室2厅1卫,80平米,高层,整租,南,1900,"龙光棕榈水岸,南沙,蕉门河,距4号线蕉门站约1131米,金蕉大道西",精装修,龙光棕榈水岸精装修两房，近4号线蕉门站，位置超靓，急租
2室2厅1卫,76平米,低层,整租,北,1600,"碧桂园天玺湾,南沙,金洲,南沙区进港大道东段",精装修,天玺湾 精装2房 湖景小区 1600出租
4室2厅2卫,143平米,中层,整租,南,2800,"万科府前一号,南沙,蕉门河,距4号线蕉门站约295米,凤凰大道西侧",精装修,万科府前一号 精装大四房 欧式装修风格 家私家电全齐 拎包入住
2室2厅1卫,69平米,中层,整租,南,1500,"碧桂园天玺湾,南沙,金洲,南沙区进港大道东段",简装修,碧桂园天玺湾温馨两房出租家私电器齐全拎包入住看房方便
3室2厅1卫,98平米,高层,整租,南北,2500,"越秀滨海御城,南沙,金洲,距4号线金洲站约161米,双山大道与祈丰路的交汇处",精装修,滨海御城 地铁口 万达商圈 南北对流 家私家电齐全
2室2厅2卫,66平米,中层,整租,南,2000,"保利绿地大都汇,南沙,金洲,距4号线金洲站约867米,金隆路与上隆岭路交界处",简装修,保利绿地大都汇复式精装两房，带家私电器出租，周边配套繁华
3室2厅1卫,82平米,中层,整租,南,1500,"广州时代云图,南沙,金洲,距4号线金洲站约725米,南沙街金隆路与双山大道交汇处",精装修,温馨住家小三房，生活方便近地铁近菜市场。
2室2厅1卫,86平米,低层,整租,南北,1800,"南沙滨海珺城,南沙,明珠湾,距4号线飞沙角站约927米,环市大道西与广隆路交界处",精装修,滨海隽城精致2房，南北通透采光好，全新家私家电，
3室2厅2卫,105平米,高层,整租,暂无,2500,"越秀滨海御城,南沙,金洲,距4号线金洲站约161米,双山大道与祈丰路的交汇处",精装修,滨海御城 春风十里 望山望海 三房两卫 约起
3室1厅1卫,66平米,高层,整租,南,2200,"保利绿地大都汇,南沙,金洲,距4号线金洲站约867米,金隆路与上隆岭路交界处",简装修,南沙保利大都会
3室2厅1卫,113平米,中层,整租,南,1800,"时代长岛,南沙,金洲,进港大道377号",精装修,时代长岛精装3房 全新全齐 房子漂亮 随时拎包入住
3室2厅2卫,109平米,低层,整租,南,2500,"南沙碧桂园,南沙,金洲,进港大道130号至180号",精装修,整租 南沙碧桂园 3房2卫 环境好 生活方便 拎包入住 2500包车位
3室2厅1卫,99平米,高层,整租,北,2000,"紫茗花园,南沙,金洲,南沙街金洲村地段裕兴花园东侧",精装修,周杰 精美装修 望花园 家私家电齐全 价格优惠
2室2厅1卫,89平米,中层,整租,北,1900,"越秀滨海悦城,南沙,蕉门河,距4号线蕉门站约902米,丰润路与海滨路交汇处南侧",精装修,整租滨海悦城家私家电齐全4号线金州站交通方便随时可看
3室2厅1卫,93平米,低层,整租,南,2200,"奥园海景城,南沙,金洲,距4号线金洲站约827米,进港大道22号",精装修,万达 近地铁 奥园海景城 3房 尽享繁华 仅2200
3室2厅1卫,70平米,高层,整租,南,2000,"中大城,南沙,金洲,距4号线金洲站约285米,金洲地铁站旁",精装修,中大城 70方两房 近地铁 近万达 生活便利 全新随时看房
3室2厅2卫,128平米,中层,整租,南,2500,"南沙滨海珺城,南沙,明珠湾,距4号线飞沙角站约927米,环市大道西与广隆路交界处",精装修,越秀滨海珺城 3房带装修家私家具 近万达 近飞沙角站
2室2厅1卫,96平米,高层,整租,南,2000,"碧桂园天玺湾,南沙,金洲,南沙区进港大道东段",简装修,96方的2房 看湖景 浪漫写意的生活
3室2厅1卫,86平米,高层,整租,南,2200,"龙光棕榈水岸,南沙,蕉门河,距4号线蕉门站约1131米,金蕉大道西",精装修,12.15龙光，钥匙在手随时看房，房源真温馨尛三房，高层全齐家私
3室2厅1卫,108平米,低层,整租,南,2000,"广晟海韵兰庭,南沙,金洲,南沙进港大道金沙路",简装修,海韵兰庭精装修三房，业主自住房，有钥匙方便看
3室2厅1卫,81平米,中层,整租,南,2200,"南沙心意华庭,南沙,金洲,距4号线飞沙角站约820米,金岭北路广隆段以西（公交车站广隆站）",精装修,租赁顾问主推物业，全新家私家电首租低于市场价400元急租！手快
2室2厅1卫,90平米,中层,整租,南,1600,"时代长岛,南沙,金洲,进港大道377号",简装修,时代长岛全新精装修两房，家具全新刚刚配齐，业主年底急租可谈
3室2厅2卫,107平米,低层,整租,东南,3000,"越秀滨海御城,南沙,金洲,距4号线金洲站约161米,双山大道与祈丰路的交汇处",精装修,廉价出租 口 滨海御城 大三房带主套带车位 南向 全齐
3室2厅1卫,78平米,高层,整租,东南,2000,"碧桂园天玺湾,南沙,金洲,南沙区进港大道东段",精装修,精装修三房，看房方便
1室1厅1卫,40平米,低层,整租,南,1200,"保利绿地大都汇,南沙,金洲,距4号线金洲站约867米,金隆路与上隆岭路交界处",精装修,保利绿地大都汇 南通透出行方便 精装修 采光好 无遮挡
