apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
2室2厅1卫,74平米,中层,整租,南,2300,"祈福新村晓峰园,番禺,祈福新区,市广路与金山大道交汇处",精装修,祈福晓峰园精装两房，家电齐全，望祈福全景，钥匙在手随时可看房
4室3厅4卫,303平米,高层,整租,南北,17000,"星河湾6号,番禺,星河湾社区,番禺区大石段迎宾路521号",豪华装修,星河湾六期6号园 豪华装修高层望江4+1房 南北对流 看房方
1室1厅1卫,87平米,中层,整租,南,4100,"锦绣香江布查特国际公寓,番禺,华南,南村镇锦绣路138号",精装修,近地铁口 番禺 锦绣香江布查特 精装1房 保养新净 来电即看
2室2厅1卫,70平米,中层,整租,南北,2600,"洛湖居,番禺,洛溪,距2号线洛溪站约444米,大石镇洛溪新城北环路",精装修,洛湖居靓装两房出租 家电齐全拎包入住 近随时看房钥匙在手
4室2厅4卫,306平米,低层,整租,南北,27000,"星河湾海怡半岛,番禺,星河湾社区,沙溪大道480号",简装修,星河湾海怡半岛 豪华装修正规5室 价格迷人 物超所值
2室2厅1卫,91平米,中层,整租,南,3200,"诺德名都,番禺,华南,兴业大道西989号",精装修,近汉溪长隆地 铁 诺德名都花园 精装两房 保养好 拎包即住
1室1厅1卫,53平米,中层,整租,南,2300,"奥园养生广场,番禺,市桥南,桥南街中心城区毗邻番禺区中心医院北侧",精装修,市桥南 品质小区 53方一房一厅 精装家电齐 随时可看 停车方便
1室1厅1卫,53平米,中层,整租,南,2300,"新月明珠花园,番禺,大石,距3号线大石站约449米,大石街景华南路30号",精装修,大石新月明珠 精致一房一厅 近地铁 家电齐全 拎包入住 南北对流
3室2厅2卫,115平米,中层,整租,南,3300,"星尚名玥花园,番禺,市桥北,大龙街丰尚路68号（石碁三中对面）",精装修,星尚花园南向 豪华装修三室 过有品质的生活
1室1厅1卫,39平米,中层,整租,南,2000,"喜盈嘉立思国际公寓,番禺,市桥南,市桥南街南城路115号",精装修,嘉立思 单间出租 2000一月 直接入住
2室1厅1卫,75平米,中层,整租,南北,3000,"祈福缤纷汇,番禺,祈福,市广路祈福新邨内",精装修,祈福缤纷汇 全新大两房 南北对流 豪华装修 中间楼层 拎包入住
,,,,,,,,
3室2厅2卫,101平米,中层,整租,南,5000,"诺德名都,番禺,华南,兴业大道西989号",豪华装修,诺德名都 三房二厅 南向 豪华装修 家私齐全 拎包入住
,,,,,,,,
3室2厅3卫,133平米,中层,整租,南北,5000,"锦绣银湾,番禺,大石,距3号线大石站约1116米,大石镇朝阳东路425号",简装修,锦绣银湾3室，家电齐全，清爽装修，拎包温馨入住
3室2厅2卫,105平米,中层,整租,北,3400,"祈福新村蝶舞轩,番禺,祈福,市广路与金山大道交界处",精装修,祈福新村 精装三房套房 保养好 家私齐 拎包入住
3室2厅2卫,93平米,中层,整租,南,1900,"莲港花园,番禺,石楼,番禺区石楼镇莲港大道",精装修,生活便利，租金便宜，看谁快了，先到先得
