apartment,area,floor,lease_mode,orientation,price,quarters,renovation,s
2室1厅1卫,55平米,中层,整租,南北,3200,"邮通小区,天河,华景新城社区,中山大道西139号",中装修,华景新城 邮通小区 两房一厅 华景公交站旁 购物便捷 采光好
3室2厅3卫,155平米,中层,整租,南,8500,"嘉裕公馆,天河,珠江新城中,距5号线猎德站约402米,花城大道80号",精装修,南向三房望花园·业主没有放租过·只住过半年
3室2厅2卫,144平米,中层,整租,南北,5800,"华景里,天河,华景新城社区,天河区信华一街7号9号11号",豪华装修,天河公园 华景新城 华景里满意三房 安静舒适温馨 看房方便
3室2厅1卫,89平米,高层,整租,东南,5500,"瑞心苑,天河,粤垦,距6号线燕塘站约824米,粤垦路333号",精装修,燕塘地铁口物业，温馨大三房，住家装修，业主急租，急租！
4室2厅3卫,167平米,高层,整租,南北,16000,"隽峰苑,天河,珠江新城中,距5号线猎德站约222米,天河区珠江新城兴盛路10号",精装修,隽峰苑 豪华装修 高层视野开阔 南北通透 拎包入住
4室2厅2卫,142平米,中层,整租,南,8700,"富力万科云启,天河,车陂,距4号线车陂站约573米,中山大道车陂北街",精装修,富力万科云启 惊现四房 南向望花园 采光通风视野好
3室2厅1卫,110平米,中层,整租,南,5800,"MBA国际公寓,天河,岗顶,距5号线潭村站约1051米,黄埔大道西601号",精装修,暨南大学旁 国际 温馨三房 随时看房拎包入住
2室2厅1卫,80平米,高层,整租,南,4500,"岗顶海关宿舍,天河,岗顶,距3号线岗顶站约717米,石牌西路海欣街1至44号",精装修,岗顶海关宿舍 环境舒适 小区管理 邻近石牌桥地铁站 生活便利 安
1室0厅1卫,27平米,中层,整租,西南,1800,"金燕花苑,天河,粤垦,距6号线燕塘站约431米,粤垦路618号",精装修,金燕花园 大单间 小哥哥 小姐姐 欢迎致电叨扰 诚意为您服务
2室1厅1卫,56平米,中层,整租,南,4500,"华农嵩山区宿舍,天河,五山,距3号线五山站约916米,五山路483号",简装修,华农嵩山区房出租 家电齐全 采光好  仅租4500
1室1厅1卫,35平米,中层,整租,南,4900,"铂林国际公寓,天河,珠江新城西,距5号线五羊邨站约318米,花城大道16号",精装修,铂林国际 复式两层一房一房租4900元 有匙即看
2室1厅1卫,68平米,高层,整租,南,3400,"橡树园,天河,沙太南,距3号线支线梅花园站约1072米,天河区沙太南路316号",精装修,橡树园 正规户型 装修漂亮 家私电 情侣合适 来电约看房
3室2厅2卫,106平米,高层,整租,南,6000,"广工教师新村,天河,东莞庄,东莞庄一横路",简装修,教师新村 3房2卫 有独立车位 出租
1室0厅1卫,38平米,中层,整租,南,1800,"燕都路小区,天河,粤垦,距6号线燕塘站约219米,粤垦燕都路22号附近",精装修,精装1居，家具家电全，拎包入住
3室2厅2卫,125平米,中层,整租,南,7500,"丰兴广场,天河,石牌桥,距3号线石牌桥站约258米,天河南2路25-31号",精装修,石牌桥丰兴广场 太古汇 125方商用多套选择
3室1厅1卫,65平米,中层,整租,南,4700,"华工西二区宿舍,天河,五山,距3号线五山站约1073米,五山路381号",简装修,华工现在全新装修 家电齐全 采光好 仅租4700
2室2厅1卫,108平米,中层,整租,东,8300,"方圆月岛,天河,珠江新城中,距5号线猎德站约306米,珠江新城兴国路27号",豪华装修,方圆月岛 业主出国急租 时尚2房2厅 拎包即住 随时看房
3室2厅2卫,180平米,高层,整租,东南,7500,"都市华庭,天河,天河北,距APM线林和西站约557米,天河北路358号至378号",精装修,都市华庭 大面积三房单位 高层采光通透 户型方正实用 近地铁
2室2厅1卫,88平米,中层,整租,东,7800,"汇峰苑,天河,珠江新城中,距5号线猎德站约258米,珠江新城兴盛路8号",精装修,汇峰苑简单优雅2房 户型方正 安静望珠江公园 视野好
3室2厅2卫,115平米,高层,整租,暂无,4000,"城市假日园,天河,东圃,距4号线车陂站约868米,中山大道旭景西路",精装修,东圃 城市假日园精装南向3房 小区安静望花园 近地铁 急租
2室2厅1卫,70平米,中层,整租,北,4500,"五山花园一期,天河,五山,距3号线五山站约279米,五山路中段茶山路",中装修,五山花园一期 中楼层电梯两房 家电齐 随时可入住 看房有钥匙
2室1厅1卫,65平米,低层,整租,南,2200,"濂泉路小区,天河,沙河,距6号线沙河顶站约898米,天河区濂泉路",中装修,广园路汽配城 濂泉路公交站附近 干净舒服两房一厅
2室2厅1卫,73平米,中层,整租,南,3300,"德欣小区,天河,岗顶,距3号线石牌桥站约463米,天河东路96-3号",毛坯,德欣小区 温馨2房 壬丰大厦 丰兴广场 石牌桥 太古汇
3室2厅1卫,104平米,低层,整租,南北,5500,"华景里,天河,华景新城社区,天河区信华一街7号9号11号",精装修,华景新城华景里 楼龄新 家私电器齐全 随时入住 欢迎来电
1室1厅1卫,42平米,中层,整租,西南,5000,"马赛国际公寓,天河,珠江新城东,距5号线潭村站约942米,黄埔大道潭村路",精装修,马赛国际 漂亮哒单间 家私精美 带阳台 看房随你时间
4室2厅2卫,130平米,中层,整租,暂无,7500,"新庆花园,天河,珠江新城东,距5号线猎德站约1046米,天河区海安路11号",精装修,珠江新城 新庆花园 电梯精装四房
2室1厅1卫,86平米,高层,整租,南,6000,"猎德花园,天河,珠江新城东,距5号线猎德站约633米,珠江新城猎德大道20号",豪华装修,珠江新城 猎德花园 豪华大两房 周边娱乐设施齐全 小高层 正南向
1室1厅1卫,88平米,中层,整租,东北,6500,"保利香槟花园,天河,珠江新城西,距3号线珠江新城站约478米,珠江新城华就路",豪华装修,保利香槟 业主自住物业 一房带书房 看房方便
3室2厅2卫,146平米,高层,整租,南,9500,"中海花城湾,天河,珠江新城中,距5号线猎德站约160米,珠江新城花城大道86号",精装修,舒适大三房 品质小区 南向无遮挡 夜景小蛮腰 中海花城湾
2室2厅1卫,100平米,中层,整租,南北,9500,"保利中达广场,天河,珠江新城中,距5号线猎德站约309米,珠江新城兴民路221号",中装修,保利中达 珠江新城复式 全新交楼 高层望江 租
3室2厅2卫,150平米,中层,整租,南,15000,"中海花城湾,天河,珠江新城中,距5号线猎德站约160米,珠江新城花城大道86号",精装修,今 日新出 中海花城湾豪华3房 家私家店齐全 保养清净
1室1厅1卫,60平米,中层,整租,南,8000,"方圆月岛,天河,珠江新城中,距5号线猎德站约306米,珠江新城兴国路27号",简装修,全新家私 豪华装修 拎包入住 月岛复式
2室2厅1卫,76平米,中层,整租,南,3000,"金坤花园,天河,粤垦,距6号线燕塘站约827米,粤垦路189号",精装修,金坤花园 天河北 生活配套齐全 拎包入住
4室2厅3卫,245平米,中层,整租,南北,20000,"天銮,天河,珠江新城中,距5号线猎德站约587米,临江大道59号之一至59号之七",豪华装修,天銮 业主改装 实拍 这是您喜欢的风格吗？
1室1厅1卫,64平米,高层,整租,南,10000,"保利中达广场,天河,珠江新城中,距5号线猎德站约309米,珠江新城兴民路221号",豪华装修,珠江新城 猎德 保利中达广场 复式一房一厅 家也可注.册办.公
3室2厅2卫,155平米,低层,整租,东南,11000,"利雅湾,天河,珠江新城中,距5号线猎德站约428米,珠江新城兴民路160号",精装修,利雅湾 大三房 业主重新装修 领包入住
