apartment,area,floor,lease_mode,orientation,price,quarters,renovation,s
2室1厅1卫,40平米,低层,整租,南北,3200,"中山三路葵树庙,越秀,东川路,距1号线烈士陵园站约546米,中山三路葵树庙",精装修,中华广场西门附近精装两房 拎包入住
2室1厅1卫,67平米,中层,整租,南,6000,"东方广场,越秀,环市东,距5号线区庄站约234米,越秀区犀牛路38号至44号",简装修,东方广场 精装修两房 环境舒适优雅
2室2厅1卫,72平米,低层,整租,南北,5800,"恤孤院路小区,越秀,东山,距1号线东山口站约585米,恤孤院路（近培正一横路）",豪华装修,恤孤院 东山口地铁 拎包入住 培正陪读 小院子
3室2厅2卫,128平米,中层,整租,南北,5900,"五羊华轩,越秀,五羊新城,距1号线杨箕站约408米,越秀区五羊新城东泰路36和38号",精装修,五羊华轩 电梯三房 精装修 采光好 铁一旁 适合住家
2室1厅1卫,95平米,低层,整租,南,8500,"万科金色家园(越秀),越秀,东风东,距5号线区庄站约546米,东风东路746号",简装修,万科金色家园 式管家小区 南北对流 白领高管
2室1厅1卫,75平米,高层,整租,南,4200,"东川路91号大院,越秀,东川路,距1号线烈士陵园站约203米,东川路91号",精装修,东川路91号大院 电梯两房小区管理 家电齐采光
2室1厅1卫,60平米,低层,整租,南,6500,"东方文德广场,越秀,北京路,距1号线农讲所站约523米,文德北路68号",豪华装修,东方文德广场 豪华装修 厅出阳台 全明屋 文明路 德政中路 文德路
3室1厅1卫,100平米,低层,整租,南,6800,"德安大厦,越秀,建设路,距5号线淘金站约438米,越秀区建设五马路4号",精装修,建设五马路电梯三房，采光好布局方正实用，木地板更显高大上。
2室1厅1卫,63平米,中层,整租,南,3600,"元运街大院,越秀,东川路,距6号线团一大广场站约642米,东川路元运街",精装修,元运街 中层两房 格局方正 采光好 装修新净
2室1厅1卫,60平米,中层,整租,东,4200,"署前路仑园,越秀,东山,距1号线东山口站约335米,东山口署前路",中装修,东山口家电齐全两房一厅小区管理各大商圈
3室2厅1卫,120平米,高层,整租,东北,5800,"金羊花园,越秀,杨箕,距1号线杨箕站约178米,越秀中山一路49号",简装修,金羊花园 安静三房 高层实用 配置齐全 小区花园 边
1室1厅1卫,40平米,高层,整租,南北,2600,"仁安新街大院,越秀,小北,距5号线小北站约571米,越秀区小北路",豪华装修,小北地铁口 仁安新街豪装正规一房一厅 家私家电齐全 干净整洁
2室2厅1卫,86平米,高层,整租,北,6500,"尚峰国际,越秀,北京路,距1号线公园前站约695米,北京路374号之二",精装修,尚峰国际出租，可，家私电器全齐，随时可看房
2室2厅1卫,70平米,低层,整租,东南,5300,"应元大厦,越秀,小北,距2号线纪念堂站约732米,应元路127号",精装修,应元路精装修电梯2房1厅 小北地铁站 纪念堂地铁站 拎包入住
