apartment,area,floor,lease_mode,orientation,price,quarters,renovation,title
3室2厅2卫,106平米,中层,整租,南,1800,"力诚凯怡湾,增城,新塘南,增城市新塘镇新塘大道12号",精装修,力城凯怡湾，望江单位精装三房拎包入住
2室2厅1卫,82平米,低层,整租,北,2000,"金泽豪庭,增城,新塘北,距13号线白江站约754米,新塘镇金泽路1号",简装修,金泽豪庭，家私家电齐全，拎包入住
2室2厅1卫,79平米,高层,整租,南北,150,"金地公园上城,增城,永和,增城永和新新公路5号",豪华装修,金地公园上城79方1500元出租 看方便
3室0厅1卫,20平米,中层,整租,东南,1200,"锦绣御景苑,增城,荔城大道北,荔城镇荔城街御景路60号",精装修,御景雅苑 精装全配 生活便利 中高楼层
3室0厅1卫,19平米,中层,整租,东南,1000,"兴发小区,增城,荔城大道南,增城市荔城镇兴发小区",精装修,兴发广场房间整洁干净
2室1厅1卫,56平米,高层,整租,东南,850,"富鹏富国路小区,增城,荔城大道北,富国路近开园路",简单装修,增城荔城大道北富鹏富国路小区 56平米2室1厅1卫
1室1厅1卫,1200平米,高层,整租,南,1200,"力诚凯怡湾,增城,新塘南,增城市新塘镇新塘大道12号",精装修,力诚凯怡湾精装一房高层南向业主急租有钥匙看房
2室1厅1卫,55平米,高层,整租,西南,850,"富鹏富国路小区,增城,荔城大道北,富国路近开园路",简单装修,增城荔城大道北富鹏富国路小区 55平米2室1厅1卫
2室2厅1卫,78平米,中层,整租,西,1600,"新塘广场,增城,新塘南,新塘镇新塘大道与解放北路交汇处",精装修,新塘广场 整租 2室2厅1卫 78平米(个人)
2室2厅1卫,87平米,低层,整租,南,2200,"广州新塘南新世界花园(增城/新塘南),广州新塘",精装修,增城新塘南广州新塘南新世界花园 87平米2室2厅1卫
2室1厅1卫,44平米,高层,整租,南,2000,"中海联·智汇城(商用),增城,新塘北,荔新大道与邵白路交界处",豪华装修,中海联·智汇城(商用) 整租 2室1厅1卫 44平米(个人)
3室0厅1卫,22平米,中层,整租,东南,1490,"江畔豪庭,增城,荔城大道南,增城大道1号",精装修,江畔花园 房龄新 小区绿化面积高 南向 中高楼层
2室2厅1卫,87平米,低层,整租,南北,2600,"新世界花园,增城,新塘南,距13号线沙村站约425米,增城市新塘镇花园东路6号",精装修,增城新塘南新世界花园 87平米2室2厅1卫
1室1厅1卫,100平米,低层,整租,南,1100,"金地公园上城,增城,新塘北,广州增城",简单装修,金地公园上城2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1600,"夏街大道小区,增城,荔城大道南,广州增城",简单装修,夏街大道小区1室1厅1卫
2室1厅1卫,80平米,高层,整租,南,1300,"永和开发区(增城/永和),永和开发区",简单装修,永和开发区2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,950,"亚太新城,增城,新塘北,广州增城",简单装修,亚太新城2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1200,"翡翠绿洲湖绣苑,增城,广园东,广州增城",简单装修,翡翠绿洲湖绣苑2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,950,"敏捷锦绣星辰,增城,增江,广州增城",简单装修,敏捷锦绣星辰2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,800,"翡翠绿洲湖滨苑,增城,广园东,广州增城",简单装修,翡翠绿洲湖滨苑1室1厅1卫
3室0厅1卫,17平米,高层,整租,东南,1320,"倾城国际,增城,挂绿新城,石滩大道南128号",精装修,倾城国际 家私齐全 独立厨房阳台
1室1厅1卫,100平米,低层,整租,南,950,"紫云山庄,增城,新塘南,广州增城",简单装修,紫云山庄2室1厅1卫
3室2厅2卫,90平米,中层,整租,不限,2500,"顺欣花园,增城,新塘北,荔新十二路98号",不限,顺欣花园 整租 3室2厅2卫 90平米(个人)
1室1厅1卫,100平米,低层,整租,南,950,"合景誉山国际,增城,广园东,广州增城",简单装修,合景誉山国际2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"增城农行宿舍,增城,新塘北,距13号线新塘站约831米,广州增城",简单装修,增城农行宿舍2室1厅1卫
1室1厅1卫,100平米,低层,整租,南,1350,"碧桂园城市花园,增城,朱村,广州增城",简单装修,碧桂园城市花园3室2厅1卫
1室1厅1卫,100平米,低层,整租,南,980,"碧桂园豪园翠湖苑,增城,挂绿新城,广州增城",简单装修,碧桂园豪园翠湖苑2室1厅1卫
3室2厅2卫,113平米,中层,整租,南,2000,"锦绣御景国际,增城,荔城大道南,荔城街府佑路与荔星大道交汇处",中装修,锦绣御景国际大型小区三房仅租2000，拎包入住
1室1厅1卫,100平米,低层,整租,南,950,"园墩路小区,增城,荔城大道南,广州增城",简单装修,园墩路小区2室1厅1卫
2室2厅1卫,80平米,高层,整租,南,2400,"增城方圆云山诗意,增城,荔城大道北,荔城大道与荔星大道交汇处",简装修,云山诗意靓租盘拧包入住
3室2厅2卫,98平米,高层,整租,东南,4000,"广发大厦,增城,新塘南,增城区新塘大道中",精装修,租芳村 精装3房 仅租4000元 错过了就没了!
2室1厅1卫,79平米,高层,整租,北,1599,"增城时代倾城,增城,增江,增江大道南3号",精装修,时代倾城 生活便利 家电齐全
1室1厅1卫,39平米,高层,整租,南,1100,"力诚凯怡湾,增城,新塘南,增城市新塘镇新塘大道12号",精装修,力诚凯怡湾精装1房高层南向领包入住价格便宜
3室2厅2卫,98平米,高层,整租,东南,3300,"合汇中央广场,增城,荔城大道北,府佑路与荔景大道交汇处（增城广场北侧）",豪华装修,合汇城区中心地铁口楼下商业
3室2厅2卫,126平米,中层,整租,南,1800,"盛世名门,增城,新塘北,距13号线白江站约374米,新塘镇东进东路8号",简装修,盛世名门 精装大三房 1800/月 家私家电齐全 交通便利
3室2厅2卫,105平米,中层,整租,南,1800,"现代城市花园,增城,新塘北,距13号线新塘站约333米,增城新塘镇港口大道363号",精装修,口物业 现代城市花园 精装修三房 家私电齐全 拎包即可入住
3室2厅1卫,100平米,高层,整租,东南,1700,"恒大山水城,增城,中新,广汕路与省道118线交界处",精装修,精装三房带车位家电出租
2室2厅1卫,66平米,高层,整租,南北,699,"中区西城路小区,增城,荔城大道南,增城市荔城镇中区西城路",精装修,城 少有新净房子出租 拎包就能入住 钥匙在手说走就走
3室1厅1卫,97平米,高层,整租,西南,2600,"中颐海伦堡花园,增城,新塘南,新塘镇南埔村海伦堡大道",豪华装修,海伦堡御园 豪华装修
4室2厅2卫,182平米,中层,整租,南,3500,"中坚豪庭,增城,荔城大道南,荔城镇府佑路",精装修,中坚豪庭 豪华大4房 拎包即可入住
3室2厅2卫,97平米,低层,整租,南,2200,"碧桂园凤凰城凤馨苑,增城,凤凰城,新塘镇广园东路",简装修,凤馨苑 南向三房 带车位
3室2厅2卫,122平米,高层,整租,北,3800,"碧桂园凤凰城凤锦苑,增城,凤凰城,广园快速路（近沈海高速）",精装修,凤凰城凤锦苑 房子保养好 三房两卫 给您住家的温馨
2室2厅1卫,77平米,高层,整租,南北,2300,"碧桂园凤凰城凤晴苑,增城,凤凰城,广园东碧桂园凤凰城凤凰城大道第5个环岛",精装修,凤凰城星悦 全新未住两房 出租 还带车位 欢迎来约看房
3室2厅2卫,96平米,中层,整租,南,2100,"碧桂园凤凰城凤馨苑,增城,凤凰城,新塘镇广园东路",精装修,凤馨苑 精装三房 中高楼层 家电齐全 拎包入住 随时看房
1室0厅1卫,47平米,低层,整租,南,1200,"嘉骏豪苑,增城,新塘南,广深大道东光华路19号",中装修,嘉骏豪苑 实惠大单间
2室1厅1卫,80平米,低层,整租,南,2000,"汇东国际花园,增城,新塘南,增城新塘汇东南路1号",简装修,汇东国际花园，2房出租
2室2厅1卫,78平米,高层,整租,北,1700,"盛世名门,增城,新塘北,距13号线白江站约374米,新塘镇东进东路8号",精装修,盛世名门 精装两房 1600/月 装修保养好 家私电齐全
2室2厅1卫,76平米,中层,整租,南,1700,"锦绣天伦花园,增城,新塘南,距13号线官湖站约1085米,新塘新沙路30号",精装修,锦绣天伦精致两房出租
3室2厅2卫,105平米,高层,整租,南,2800,"碧桂园凤凰城凤锦苑,增城,凤凰城,广园快速路（近沈海高速）",精装修,天麓山 105方 精装三房 业主保养好 舒适环境 南北对流 随时看房
3室2厅2卫,122平米,低层,整租,南北,2100,"锦绣御景国际,增城,荔城大道南,荔城街府佑路与荔星大道交汇处",精装修,国际三期 大三房精装修 业主空房出租可带1家私电
